phase,phase_iteration,global_iteration,algorithm,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,nb,0,1024,2,2.560059611,0.002500058,0.000517065,0.004798981,1
warmup,1,1,nb,0,1024,2,0.149119584,0.000145625,0.000006682,0.000245619,1
warmup,2,2,nb,0,1024,2,0.159073738,0.000155345,0.000007173,0.000267721,1
warmup,3,3,nb,0,1024,2,0.137093921,0.000133881,0.000008006,0.000209973,1
warmup,4,4,nb,0,1024,2,0.153552321,0.000149953,0.000003156,0.000249537,1
warmup,5,5,nb,0,1024,2,0.164683990,0.000160824,0.000009448,0.000272350,1
warmup,6,6,nb,0,1024,2,0.177452099,0.000173293,0.000009408,0.000251924,1
warmup,7,7,nb,0,1024,2,0.155134027,0.000151498,0.000010199,0.000262622,1
warmup,8,8,nb,0,1024,2,0.166913217,0.000163001,0.000007604,0.000252813,1
warmup,9,9,nb,0,1024,2,0.141823579,0.000138500,0.000006322,0.000238537,1
warmup,10,10,nb,0,1024,2,0.160935619,0.000157164,0.000005621,0.000253635,1
warmup,11,11,nb,0,1024,2,0.135205392,0.000132037,0.000009699,0.000232967,1
warmup,12,12,nb,0,1024,2,0.157302978,0.000153616,0.000003156,0.000239578,1
warmup,13,13,nb,0,1024,2,0.141041948,0.000137736,0.000009408,0.000233026,1
warmup,14,14,nb,0,1024,2,0.146930543,0.000143487,0.000003035,0.000232505,1
warmup,15,15,nb,0,1024,2,0.140481117,0.000137189,0.000007524,0.000233728,1
warmup,16,16,nb,0,1024,2,0.151957196,0.000148396,0.000003216,0.000251541,1
warmup,17,17,nb,0,1024,2,0.138042869,0.000134807,0.000009497,0.000216906,1
warmup,18,18,nb,0,1024,2,0.143313007,0.000139954,0.000003056,0.000237495,1
warmup,19,19,nb,0,1024,2,0.140484276,0.000137192,0.000004218,0.000221975,1
actual,0,20,nb,0,1024,2,0.144363242,0.000140980,0.000003797,0.000225222,1
actual,1,21,nb,0,1024,2,0.139054406,0.000135795,0.000005070,0.000224761,1
actual,2,22,nb,0,1024,2,0.151342045,0.000147795,0.000004288,0.000239408,1
actual,3,23,nb,0,1024,2,0.147494737,0.000144038,0.000009168,0.000229680,1
actual,4,24,nb,0,1024,2,0.139376626,0.000136110,0.000003236,0.000235902,1
actual,5,25,nb,0,1024,2,0.139693846,0.000136420,0.000007294,0.000212859,1
actual,6,26,nb,0,1024,2,0.142799586,0.000139453,0.000003015,0.000227916,1
actual,7,27,nb,0,1024,2,0.142874329,0.000139526,0.000004117,0.000232396,1
actual,8,28,nb,0,1024,2,0.163329140,0.000159501,0.000004469,0.000247194,1
actual,9,29,nb,0,1024,2,0.132573603,0.000129466,0.000004097,0.000208751,1
actual,10,30,nb,0,1024,2,0.138934288,0.000135678,0.000002996,0.000232034,1
actual,11,31,nb,0,1024,2,0.142515751,0.000139176,0.000009007,0.000218309,1
actual,12,32,nb,0,1024,2,0.141949471,0.000138623,0.000003988,0.000239548,1
actual,13,33,nb,0,1024,2,0.138842627,0.000135589,0.000007484,0.000207219,1
actual,14,34,nb,0,1024,2,0.150088780,0.000146571,0.000004188,0.000233096,1
actual,15,35,nb,0,1024,2,0.147124836,0.000143677,0.000006272,0.000233507,1
actual,16,36,nb,0,1024,2,0.141751220,0.000138429,0.000004058,0.000227636,1
actual,17,37,nb,0,1024,2,0.143384332,0.000140024,0.000005310,0.000221134,1
actual,18,38,nb,0,1024,2,0.136131075,0.000132941,0.000003035,0.000232375,1
actual,19,39,nb,0,1024,2,0.144994992,0.000141597,0.000006052,0.000230652,1
warmup,0,0,nb,0,1024,3,0.137873263,0.000134642,0.000002906,0.000213140,1
warmup,1,1,nb,0,1024,3,0.143815792,0.000140445,0.000009759,0.000222679,1
warmup,2,2,nb,0,1024,3,0.138096309,0.000134860,0.000002976,0.000212819,1
warmup,3,3,nb,0,1024,3,0.136486436,0.000133288,0.000009087,0.000218449,1
warmup,4,4,nb,0,1024,3,0.144254878,0.000140874,0.000002916,0.000234620,1
warmup,5,5,nb,0,1024,3,0.139861802,0.000136584,0.000005090,0.000219341,1
warmup,6,6,nb,0,1024,3,0.139296037,0.000136031,0.000003055,0.000230883,1
warmup,7,7,nb,0,1024,3,0.140007167,0.000136726,0.000009338,0.000223719,1
warmup,8,8,nb,0,1024,3,0.138907400,0.000135652,0.000002926,0.000228568,1
warmup,9,9,nb,0,1024,3,0.143354297,0.000139994,0.000009097,0.000221304,1
warmup,10,10,nb,0,1024,3,0.146941928,0.000143498,0.000003807,0.000235311,1
warmup,11,11,nb,0,1024,3,0.141102952,0.000137796,0.000009087,0.000234119,1
warmup,12,12,nb,0,1024,3,0.142732353,0.000139387,0.000002975,0.000230131,1
warmup,13,13,nb,0,1024,3,0.155835198,0.000152183,0.000006152,0.000240390,1
