requested_collective,requested_algorithm,internal_collective,internal_algorithm,nproc,dump_rank,count,raw_line
MPI_Bcast,nb,Ibcast,MPIR_Ibcast_intra_sched_binomial,4096,0,1000,      1000  MPIR_Ibcast_intra_sched_binomial
MPI_Bcast,nb,Ibcast,MPIR_Ibcast_intra_sched_scatter_recursive_doubling_allgather,4096,0,440,       440  MPIR_Ibcast_intra_sched_scatter_recursive_doubling_allgather
MPI_Bcast,nb,Ibcast,MPIR_Ibcast_intra_sched_scatter_ring_allgather,4096,0,520,       520  MPIR_Ibcast_intra_sched_scatter_ring_allgather
