phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,1,0,128,2,0.024218773,0.000189209,0.000018785,0.000349196,1
warmup,1,1,binomial,1,0,128,2,0.010440750,0.000081568,0.000010109,0.000125096,1
warmup,2,2,binomial,1,0,128,2,0.008911942,0.000069625,0.000006212,0.000109757,1
warmup,3,3,binomial,1,0,128,2,0.009508673,0.000074287,0.000005199,0.000112833,1
warmup,4,4,binomial,1,0,128,2,0.008809510,0.000068824,0.000005119,0.000110448,1
warmup,5,5,binomial,1,0,128,2,0.008354677,0.000065271,0.000005090,0.000099908,1
warmup,6,6,binomial,1,0,128,2,0.010078453,0.000078738,0.000002554,0.000127129,1
warmup,7,7,binomial,1,0,128,2,0.010536918,0.000082320,0.000009949,0.000130505,1
warmup,8,8,binomial,1,0,128,2,0.007773562,0.000060731,0.000004359,0.000099167,1
warmup,9,9,binomial,1,0,128,2,0.009700615,0.000075786,0.000005150,0.000113764,1
warmup,10,10,binomial,1,0,128,2,0.009153259,0.000071510,0.000004398,0.000119876,1
warmup,11,11,binomial,1,0,128,2,0.009300849,0.000072663,0.000005089,0.000127880,1
warmup,12,12,binomial,1,0,128,2,0.008223468,0.000064246,0.000004449,0.000113563,1
warmup,13,13,binomial,1,0,128,2,0.008495761,0.000066373,0.000005089,0.000096531,1
warmup,14,14,binomial,1,0,128,2,0.008633190,0.000067447,0.000002535,0.000119465,1
warmup,15,15,binomial,1,0,128,2,0.009873171,0.000077134,0.000008626,0.000125226,1
warmup,16,16,binomial,1,0,128,2,0.007484503,0.000058473,0.000002285,0.000096331,1
warmup,17,17,binomial,1,0,128,2,0.008669225,0.000067728,0.000005180,0.000104456,1
warmup,18,18,binomial,1,0,128,2,0.008546185,0.000066767,0.000004208,0.000110969,1
warmup,19,19,binomial,1,0,128,2,0.008882522,0.000069395,0.000005360,0.000117360,1
warmup,20,20,binomial,1,0,128,2,0.007867916,0.000061468,0.000002164,0.000107282,1
warmup,21,21,binomial,1,0,128,2,0.009573873,0.000074796,0.000005130,0.000121729,1
warmup,22,22,binomial,1,0,128,2,0.009138523,0.000071395,0.000002284,0.000122911,1
warmup,23,23,binomial,1,0,128,2,0.008581261,0.000067041,0.000005009,0.000112251,1
