phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,1,0,256,2,0.219583091,0.000857746,0.000020248,0.002501432,1
warmup,1,1,binomial,1,0,256,2,0.026851872,0.000104890,0.000009568,0.000158877,1
warmup,2,2,binomial,1,0,256,2,0.023405546,0.000091428,0.000008305,0.000140233,1
warmup,3,3,binomial,1,0,256,2,0.024495117,0.000095684,0.000003106,0.000172211,1
warmup,4,4,binomial,1,0,256,2,0.024419243,0.000095388,0.000008767,0.000168755,1
warmup,5,5,binomial,1,0,256,2,0.026799280,0.000104685,0.000008927,0.000172463,1
warmup,6,6,binomial,1,0,256,2,0.020908766,0.000081675,0.000005040,0.000137047,1
warmup,7,7,binomial,1,0,256,2,0.028996962,0.000113269,0.000008937,0.000196306,1
warmup,8,8,binomial,1,0,256,2,0.023953421,0.000093568,0.000006683,0.000153959,1
warmup,9,9,binomial,1,0,256,2,0.026536569,0.000103658,0.000009238,0.000178433,1
warmup,10,10,binomial,1,0,256,2,0.018578938,0.000072574,0.000003236,0.000134602,1
warmup,11,11,binomial,1,0,256,2,0.023232046,0.000090750,0.000004909,0.000135996,1
warmup,12,12,binomial,1,0,256,2,0.021761986,0.000085008,0.000009107,0.000142488,1
warmup,13,13,binomial,1,0,256,2,0.022436969,0.000087644,0.000003086,0.000140273,1
warmup,14,14,binomial,1,0,256,2,0.020207698,0.000078936,0.000003126,0.000139310,1
warmup,15,15,binomial,1,0,256,2,0.026172415,0.000102236,0.000004578,0.000171771,1
warmup,16,16,binomial,1,0,256,2,0.020802026,0.000081258,0.000004338,0.000144640,1
warmup,17,17,binomial,1,0,256,2,0.028853954,0.000112711,0.000004659,0.000185366,1
warmup,18,18,binomial,1,0,256,2,0.021327529,0.000083311,0.000004418,0.000152074,1
warmup,19,19,binomial,1,0,256,2,0.026303539,0.000102748,0.000004428,0.000164959,1
warmup,20,20,binomial,1,0,256,2,0.020865097,0.000081504,0.000004859,0.000147004,1
warmup,21,21,binomial,1,0,256,2,0.024985300,0.000097599,0.000002816,0.000161071,1
warmup,22,22,binomial,1,0,256,2,0.019795619,0.000077327,0.000001663,0.000149038,1
warmup,23,23,binomial,1,0,256,2,0.023854029,0.000093180,0.000004619,0.000153457,1
warmup,24,24,binomial,1,0,256,2,0.019797060,0.000077332,0.000003266,0.000137306,1
