phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,59,59,binomial,1,0,256,2,0.025340792,0.000098987,0.000002976,0.000158938,1
warmup,60,60,binomial,1,0,256,2,0.019087812,0.000074562,0.000004589,0.000126157,1
warmup,61,61,binomial,1,0,256,2,0.025195258,0.000098419,0.000003005,0.000165580,1
warmup,62,62,binomial,1,0,256,2,0.019816835,0.000077410,0.000004559,0.000135094,1
warmup,63,63,binomial,1,0,256,2,0.022683659,0.000088608,0.000001693,0.000146315,1
warmup,64,64,binomial,1,0,256,2,0.018015864,0.000070374,0.000004559,0.000125926,1
warmup,65,65,binomial,1,0,256,2,0.025090282,0.000098009,0.000002806,0.000174598,1
warmup,66,66,binomial,1,0,256,2,0.019682502,0.000076885,0.000003055,0.000136696,1
warmup,67,67,binomial,1,0,256,2,0.025007511,0.000097686,0.000002935,0.000167915,1
warmup,68,68,binomial,1,0,256,2,0.020470632,0.000079963,0.000004479,0.000133822,1
warmup,69,69,binomial,1,0,256,2,0.024586625,0.000096042,0.000002906,0.000156313,1
warmup,70,70,binomial,1,0,256,2,0.020282991,0.000079230,0.000004539,0.000134633,1
warmup,71,71,binomial,1,0,256,2,0.026090232,0.000101915,0.000004458,0.000164649,1
warmup,72,72,binomial,1,0,256,2,0.018585953,0.000072601,0.000002805,0.000127640,1
warmup,73,73,binomial,1,0,256,2,0.025988947,0.000101519,0.000002945,0.000176862,1
warmup,74,74,binomial,1,0,256,2,0.018119823,0.000070781,0.000004639,0.000124954,1
warmup,75,75,binomial,1,0,256,2,0.024364239,0.000095173,0.000003015,0.000149591,1
warmup,76,76,binomial,1,0,256,2,0.017734342,0.000069275,0.000002795,0.000118222,1
warmup,77,77,binomial,1,0,256,2,0.024400768,0.000095315,0.000004940,0.000155282,1
warmup,78,78,binomial,1,0,256,2,0.017258496,0.000067416,0.000004558,0.000119194,1
warmup,79,79,binomial,1,0,256,2,0.024994457,0.000097635,0.000004449,0.000157655,1
warmup,80,80,binomial,1,0,256,2,0.019940682,0.000077893,0.000004599,0.000134553,1
warmup,81,81,binomial,1,0,256,2,0.026059607,0.000101795,0.000003217,0.000170290,1
warmup,82,82,binomial,1,0,256,2,0.019061041,0.000074457,0.000004458,0.000129102,1
warmup,83,83,binomial,1,0,256,2,0.021587429,0.000084326,0.000002906,0.000136255,1
warmup,84,84,binomial,1,0,256,2,0.017219138,0.000067262,0.000003116,0.000117560,1
warmup,85,85,binomial,1,0,256,2,0.020972829,0.000081925,0.000002845,0.000130234,1
warmup,86,86,binomial,1,0,256,2,0.017703878,0.000069156,0.000009638,0.000118603,1
warmup,87,87,binomial,1,0,256,2,0.022885575,0.000089397,0.000004629,0.000159470,1
warmup,88,88,binomial,1,0,256,2,0.019584479,0.000076502,0.000002735,0.000139793,1
warmup,89,89,binomial,1,0,256,2,0.022394211,0.000087477,0.000002845,0.000151103,1
warmup,90,90,binomial,1,0,256,2,0.018690475,0.000073010,0.000004378,0.000128902,1
warmup,91,91,binomial,1,0,256,2,0.022249509,0.000086912,0.000001453,0.000144862,1
warmup,92,92,binomial,1,0,256,2,0.018403023,0.000071887,0.000004558,0.000132599,1
warmup,93,93,binomial,1,0,256,2,0.030120577,0.000117659,0.000004899,0.000195056,1
warmup,94,94,binomial,1,0,256,2,0.020177978,0.000078820,0.000004518,0.000136767,1
warmup,95,95,binomial,1,0,256,2,0.022827610,0.000089170,0.000002986,0.000143740,1
warmup,96,96,binomial,1,0,256,2,0.017785052,0.000069473,0.000004539,0.000121578,1
warmup,97,97,binomial,1,0,256,2,0.025653174,0.000100208,0.000002896,0.000173285,1
warmup,98,98,binomial,1,0,256,2,0.019741512,0.000077115,0.000004528,0.000127339,1
warmup,99,99,binomial,1,0,256,2,0.024534626,0.000095838,0.000002805,0.000149481,1
actual,0,100,binomial,1,0,256,2,0.020556797,0.000080300,0.000004468,0.000145403,1
actual,1,101,binomial,1,0,256,2,0.022906008,0.000089477,0.000002805,0.000149871,1
actual,2,102,binomial,1,0,256,2,0.019083008,0.000074543,0.000004488,0.000125044,1
actual,3,103,binomial,1,0,256,2,0.025121486,0.000098131,0.000002926,0.000168045,1
actual,4,104,binomial,1,0,256,2,0.019903574,0.000077748,0.000002855,0.000138079,1
actual,5,105,binomial,1,0,256,2,0.025324285,0.000098923,0.000004769,0.000161213,1
actual,6,106,binomial,1,0,256,2,0.017487448,0.000068310,0.000004429,0.000122890,1
actual,7,107,binomial,1,0,256,2,0.024055677,0.000093967,0.000002796,0.000148168,1
