phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,1,0,512,2,1.302984665,0.002544892,0.000049032,0.005543592,1
warmup,1,1,binomial,1,0,512,2,0.076173990,0.000148777,0.000016441,0.000217889,1
warmup,2,2,binomial,1,0,512,2,0.049054567,0.000095810,0.000005941,0.000147276,1
warmup,3,3,binomial,1,0,512,2,0.068119164,0.000133045,0.000003176,0.000205847,1
warmup,4,4,binomial,1,0,512,2,0.052681711,0.000102894,0.000005801,0.000186841,1
warmup,5,5,binomial,1,0,512,2,0.064886560,0.000126732,0.000006362,0.000211687,1
warmup,6,6,binomial,1,0,512,2,0.053298909,0.000104099,0.000005421,0.000193814,1
warmup,7,7,binomial,1,0,512,2,0.060029013,0.000117244,0.000000681,0.000186812,1
warmup,8,8,binomial,1,0,512,2,0.046862126,0.000091528,0.000000471,0.000150754,1
warmup,9,9,binomial,1,0,512,2,0.064809258,0.000126581,0.000006101,0.000195898,1
warmup,10,10,binomial,1,0,512,2,0.044670079,0.000087246,0.000005540,0.000162004,1
warmup,11,11,binomial,1,0,512,2,0.060806835,0.000118763,0.000005902,0.000205776,1
warmup,12,12,binomial,1,0,512,2,0.046863133,0.000091530,0.000005621,0.000166363,1
warmup,13,13,binomial,1,0,512,2,0.060905048,0.000118955,0.000006021,0.000194686,1
warmup,14,14,binomial,1,0,512,2,0.049364918,0.000096416,0.000005781,0.000164650,1
warmup,15,15,binomial,1,0,512,2,0.065510795,0.000127951,0.000005831,0.000196519,1
warmup,16,16,binomial,1,0,512,2,0.047225990,0.000092238,0.000001412,0.000162004,1
warmup,17,17,binomial,1,0,512,2,0.058178272,0.000113629,0.000001603,0.000196498,1
warmup,18,18,binomial,1,0,512,2,0.043532742,0.000085025,0.000005561,0.000164970,1
warmup,19,19,binomial,1,0,512,2,0.055954179,0.000109286,0.000006041,0.000185217,1
warmup,20,20,binomial,1,0,512,2,0.052911788,0.000103343,0.000005460,0.000170831,1
warmup,21,21,binomial,1,0,512,2,0.065955344,0.000128819,0.000001563,0.000208381,1
warmup,22,22,binomial,1,0,512,2,0.050812726,0.000099244,0.000000491,0.000183194,1
warmup,23,23,binomial,1,0,512,2,0.067516525,0.000131868,0.000009848,0.000203482,1
warmup,24,24,binomial,1,0,512,2,0.046782777,0.000091373,0.000000481,0.000167203,1
warmup,25,25,binomial,1,0,512,2,0.064573611,0.000126120,0.000005540,0.000199705,1
warmup,26,26,binomial,1,0,512,2,0.047641837,0.000093050,0.000005450,0.000167034,1
warmup,27,27,binomial,1,0,512,2,0.063173844,0.000123386,0.000005961,0.000201388,1
warmup,28,28,binomial,1,0,512,2,0.048596337,0.000094915,0.000005360,0.000163106,1
warmup,29,29,binomial,1,0,512,2,0.063021866,0.000123090,0.000001553,0.000191521,1
warmup,30,30,binomial,1,0,512,2,0.052334893,0.000102217,0.000005400,0.000160952,1
warmup,31,31,binomial,1,0,512,2,0.060566260,0.000118293,0.000001693,0.000208842,1
warmup,32,32,binomial,1,0,512,2,0.043693914,0.000085340,0.000002675,0.000139251,1
warmup,33,33,binomial,1,0,512,2,0.062946679,0.000122943,0.000005781,0.000190648,1
warmup,34,34,binomial,1,0,512,2,0.043383452,0.000084733,0.000004558,0.000148029,1
warmup,35,35,binomial,1,0,512,2,0.067311876,0.000131469,0.000003637,0.000214913,1
warmup,36,36,binomial,1,0,512,2,0.048553192,0.000094830,0.000003416,0.000161664,1
warmup,37,37,binomial,1,0,512,2,0.062108852,0.000121306,0.000003357,0.000190688,1
warmup,38,38,binomial,1,0,512,2,0.040790519,0.000079669,0.000005600,0.000146545,1
warmup,39,39,binomial,1,0,512,2,0.064815141,0.000126592,0.000010440,0.000209874,1
warmup,40,40,binomial,1,0,512,2,0.044359332,0.000086639,0.000001503,0.000142367,1
warmup,41,41,binomial,1,0,512,2,0.062340449,0.000121759,0.000005651,0.000190227,1
warmup,42,42,binomial,1,0,512,2,0.047254143,0.000092293,0.000005750,0.000154620,1
warmup,43,43,binomial,1,0,512,2,0.065965135,0.000128838,0.000012403,0.000192311,1
warmup,44,44,binomial,1,0,512,2,0.044659011,0.000087225,0.000005841,0.000143991,1
warmup,45,45,binomial,1,0,512,2,0.064766287,0.000126497,0.000005580,0.000193554,1
warmup,46,46,binomial,1,0,512,2,0.045189626,0.000088261,0.000005781,0.000149430,1
warmup,47,47,binomial,1,0,512,2,0.061220141,0.000119571,0.000006602,0.000192923,1
warmup,48,48,binomial,1,0,512,2,0.047661598,0.000093089,0.000000411,0.000175019,1
warmup,49,49,binomial,1,0,512,2,0.063293286,0.000123620,0.000000501,0.000223279,1
actual,0,50,binomial,1,0,512,2,0.062140947,0.000121369,0.000005721,0.000189295,1
actual,1,51,binomial,1,0,512,2,0.057382319,0.000112075,0.000000381,0.000197351,1
actual,2,52,binomial,1,0,512,2,0.042174832,0.000082373,0.000005771,0.000148579,1
actual,3,53,binomial,1,0,512,2,0.059719651,0.000116640,0.000002805,0.000183064,1
actual,4,54,binomial,1,0,512,2,0.046945772,0.000091691,0.000001563,0.000156644,1
actual,5,55,binomial,1,0,512,2,0.069975145,0.000136670,0.000005541,0.000210475,1
actual,6,56,binomial,1,0,512,2,0.048394277,0.000094520,0.000005330,0.000164478,1
actual,7,57,binomial,1,0,512,2,0.067313812,0.000131472,0.000005621,0.000210365,1
actual,8,58,binomial,1,0,512,2,0.048229460,0.000094198,0.000005871,0.000148409,1
actual,9,59,binomial,1,0,512,2,0.064803176,0.000126569,0.000004679,0.000205345,1
actual,10,60,binomial,1,0,512,2,0.053386256,0.000104270,0.000005701,0.000175529,1
actual,11,61,binomial,1,0,512,2,0.058435474,0.000114132,0.000001503,0.000180619,1
actual,12,62,binomial,1,0,512,2,0.044466906,0.000086849,0.000005680,0.000154470,1
actual,13,63,binomial,1,0,512,2,0.063894347,0.000124794,0.000001603,0.000204254,1
actual,14,64,binomial,1,0,512,2,0.052277382,0.000102104,0.000003687,0.000171782,1
actual,15,65,binomial,1,0,512,2,0.062632925,0.000122330,0.000001523,0.000193173,1
actual,16,66,binomial,1,0,512,2,0.045697232,0.000089252,0.000005621,0.000155252,1
actual,17,67,binomial,1,0,512,2,0.063569237,0.000124159,0.000005421,0.000194125,1
actual,18,68,binomial,1,0,512,2,0.046609575,0.000091034,0.000001623,0.000172123,1
actual,19,69,binomial,1,0,512,2,0.062316473,0.000121712,0.000001413,0.000196109,1
actual,20,70,binomial,1,0,512,2,0.044689993,0.000087285,0.000001493,0.000154871,1
actual,21,71,binomial,1,0,512,2,0.065796638,0.000128509,0.000005671,0.000205175,1
actual,22,72,binomial,1,0,512,2,0.051880467,0.000101329,0.000005450,0.000173536,1
actual,23,73,binomial,1,0,512,2,0.065868475,0.000128649,0.000005350,0.000200025,1
actual,24,74,binomial,1,0,512,2,0.043640244,0.000085235,0.000005641,0.000141676,1
actual,25,75,binomial,1,0,512,2,0.064701331,0.000126370,0.000000421,0.000194225,1
actual,26,76,binomial,1,0,512,2,0.048863624,0.000095437,0.000005400,0.000155301,1
actual,27,77,binomial,1,0,512,2,0.059621233,0.000116448,0.000005671,0.000182012,1
actual,28,78,binomial,1,0,512,2,0.048041725,0.000093831,0.000005581,0.000157385,1
actual,29,79,binomial,1,0,512,2,0.063435704,0.000123898,0.000005530,0.000192633,1
actual,30,80,binomial,1,0,512,2,0.045860110,0.000089571,0.000005330,0.000168887,1
actual,31,81,binomial,1,0,512,2,0.067118523,0.000131091,0.000001583,0.000210916,1
actual,32,82,binomial,1,0,512,2,0.048990261,0.000095684,0.000004409,0.000173435,1
actual,33,83,binomial,1,0,512,2,0.067992895,0.000132799,0.000000401,0.000224561,1
actual,34,84,binomial,1,0,512,2,0.046429734,0.000090683,0.000005520,0.000152306,1
actual,35,85,binomial,1,0,512,2,0.064952589,0.000126861,0.000005430,0.000196579,1
actual,36,86,binomial,1,0,512,2,0.046995867,0.000091789,0.000001593,0.000174377,1
actual,37,87,binomial,1,0,512,2,0.068033683,0.000132878,0.000001644,0.000225924,1
actual,38,88,binomial,1,0,512,2,0.043397888,0.000084762,0.000002846,0.000145754,1
actual,39,89,binomial,1,0,512,2,0.072843460,0.000142272,0.000005650,0.000217759,1
actual,40,90,binomial,1,0,512,2,0.044541817,0.000086996,0.000004699,0.000146224,1
actual,41,91,binomial,1,0,512,2,0.064938019,0.000126832,0.000005480,0.000205105,1
actual,42,92,binomial,1,0,512,2,0.051439647,0.000100468,0.000005691,0.000171472,1
actual,43,93,binomial,1,0,512,2,0.064536808,0.000126048,0.000007585,0.000204715,1
actual,44,94,binomial,1,0,512,2,0.044164386,0.000086259,0.000002645,0.000153448,1
actual,45,95,binomial,1,0,512,2,0.062474653,0.000122021,0.000005571,0.000200035,1
actual,46,96,binomial,1,0,512,2,0.044771755,0.000087445,0.000002485,0.000145584,1
actual,47,97,binomial,1,0,512,2,0.056728873,0.000110799,0.000001723,0.000195737,1
actual,48,98,binomial,1,0,512,2,0.046794953,0.000091396,0.000005380,0.000156354,1
actual,49,99,binomial,1,0,512,2,0.064652254,0.000126274,0.000005630,0.000201298,1
warmup,0,0,binomial,1,0,512,3,0.042503028,0.000083014,0.000003497,0.000154019,1
warmup,1,1,binomial,1,0,512,3,0.063272585,0.000123579,0.000010510,0.000190237,1
warmup,2,2,binomial,1,0,512,3,0.044877721,0.000087652,0.000005520,0.000147077,1
warmup,3,3,binomial,1,0,512,3,0.064304921,0.000125596,0.000005520,0.000202280,1
warmup,4,4,binomial,1,0,512,3,0.046014557,0.000089872,0.000004539,0.000150672,1
warmup,5,5,binomial,1,0,512,3,0.062784960,0.000122627,0.000003517,0.000198664,1
warmup,6,6,binomial,1,0,512,3,0.048778718,0.000095271,0.000005720,0.000174127,1
warmup,7,7,binomial,1,0,512,3,0.065714169,0.000128348,0.000002514,0.000198263,1
warmup,8,8,binomial,1,0,512,3,0.049460697,0.000096603,0.000001573,0.000168927,1
warmup,9,9,binomial,1,0,512,3,0.062342217,0.000121762,0.000005591,0.000190659,1
warmup,10,10,binomial,1,0,512,3,0.050388917,0.000098416,0.000005360,0.000159800,1
warmup,11,11,binomial,1,0,512,3,0.057972699,0.000113228,0.000000431,0.000207930,1
warmup,12,12,binomial,1,0,512,3,0.044526419,0.000086966,0.000001664,0.000148829,1
warmup,13,13,binomial,1,0,512,3,0.069275681,0.000135304,0.000005871,0.000215414,1
warmup,14,14,binomial,1,0,512,3,0.053824492,0.000105126,0.000005510,0.000177564,1
warmup,15,15,binomial,1,0,512,3,0.060752746,0.000118658,0.000000992,0.000200436,1
warmup,16,16,binomial,1,0,512,3,0.046590804,0.000090998,0.000005380,0.000154049,1
warmup,17,17,binomial,1,0,512,3,0.066244324,0.000129383,0.000006573,0.000202890,1
warmup,18,18,binomial,1,0,512,3,0.047819959,0.000093398,0.000002605,0.000165240,1
warmup,19,19,binomial,1,0,512,3,0.064981847,0.000126918,0.000005681,0.000203482,1
warmup,20,20,binomial,1,0,512,3,0.051759003,0.000101092,0.000005410,0.000170570,1
warmup,21,21,binomial,1,0,512,3,0.060519660,0.000118202,0.000002655,0.000185448,1
warmup,22,22,binomial,1,0,512,3,0.045580726,0.000089025,0.000005971,0.000152185,1
warmup,23,23,binomial,1,0,512,3,0.063791438,0.000124593,0.000001653,0.000191729,1
warmup,24,24,binomial,1,0,512,3,0.047385833,0.000092550,0.000005821,0.000150492,1
warmup,25,25,binomial,1,0,512,3,0.065049893,0.000127051,0.000010830,0.000207771,1
warmup,26,26,binomial,1,0,512,3,0.052578935,0.000102693,0.000005551,0.000164759,1
warmup,27,27,binomial,1,0,512,3,0.065779714,0.000128476,0.000003557,0.000226526,1
warmup,28,28,binomial,1,0,512,3,0.053130091,0.000103770,0.000005610,0.000174698,1
warmup,29,29,binomial,1,0,512,3,0.065182163,0.000127309,0.000007554,0.000194315,1
warmup,30,30,binomial,1,0,512,3,0.048070083,0.000093887,0.000005411,0.000155031,1
warmup,31,31,binomial,1,0,512,3,0.064160195,0.000125313,0.000005750,0.000193834,1
warmup,32,32,binomial,1,0,512,3,0.047406445,0.000092591,0.000005551,0.000158728,1
warmup,33,33,binomial,1,0,512,3,0.061217809,0.000119566,0.000003727,0.000187223,1
warmup,34,34,binomial,1,0,512,3,0.051035018,0.000099678,0.000005611,0.000163186,1
warmup,35,35,binomial,1,0,512,3,0.060779044,0.000118709,0.000001733,0.000195266,1
warmup,36,36,binomial,1,0,512,3,0.049278291,0.000096247,0.000005661,0.000169769,1
warmup,37,37,binomial,1,0,512,3,0.064565538,0.000126105,0.000005551,0.000196449,1
warmup,38,38,binomial,1,0,512,3,0.053373191,0.000104245,0.000005461,0.000185067,1
warmup,39,39,binomial,1,0,512,3,0.070095233,0.000136905,0.000010209,0.000220914,1
warmup,40,40,binomial,1,0,512,3,0.046362054,0.000090551,0.000001593,0.000161984,1
warmup,41,41,binomial,1,0,512,3,0.068563063,0.000133912,0.000005440,0.000216346,1
warmup,42,42,binomial,1,0,512,3,0.046041393,0.000089925,0.000005650,0.000157807,1
warmup,43,43,binomial,1,0,512,3,0.065534874,0.000127998,0.000010440,0.000213691,1
warmup,44,44,binomial,1,0,512,3,0.046498264,0.000090817,0.000005540,0.000149370,1
warmup,45,45,binomial,1,0,512,3,0.062839543,0.000122733,0.000005711,0.000201258,1
warmup,46,46,binomial,1,0,512,3,0.045870706,0.000089591,0.000005771,0.000155482,1
warmup,47,47,binomial,1,0,512,3,0.063435082,0.000123897,0.000005150,0.000202169,1
warmup,48,48,binomial,1,0,512,3,0.047183345,0.000092155,0.000005591,0.000147156,1
warmup,49,49,binomial,1,0,512,3,0.065394895,0.000127724,0.000003617,0.000205596,1
actual,0,50,binomial,1,0,512,3,0.048752280,0.000095219,0.000001573,0.000165641,1
actual,1,51,binomial,1,0,512,3,0.071217731,0.000139097,0.000003727,0.000213381,1
actual,2,52,binomial,1,0,512,3,0.053020689,0.000103556,0.000005570,0.000175600,1
actual,3,53,binomial,1,0,512,3,0.062754834,0.000122568,0.000000481,0.000200927,1
actual,4,54,binomial,1,0,512,3,0.049520260,0.000096719,0.000005681,0.000159459,1
actual,5,55,binomial,1,0,512,3,0.063101483,0.000123245,0.000000381,0.000223650,1
actual,6,56,binomial,1,0,512,3,0.044751851,0.000087406,0.000002655,0.000150622,1
actual,7,57,binomial,1,0,512,3,0.061622106,0.000120356,0.000009318,0.000188133,1
actual,8,58,binomial,1,0,512,3,0.047331118,0.000092444,0.000002384,0.000184426,1
actual,9,59,binomial,1,0,512,3,0.065554618,0.000128036,0.000005590,0.000198293,1
actual,10,60,binomial,1,0,512,3,0.046483819,0.000090789,0.000005501,0.000157636,1
actual,11,61,binomial,1,0,512,3,0.057769414,0.000112831,0.000001533,0.000183173,1
actual,12,62,binomial,1,0,512,3,0.049096389,0.000095891,0.000000361,0.000162054,1
actual,13,63,binomial,1,0,512,3,0.064107464,0.000125210,0.000005760,0.000197110,1
actual,14,64,binomial,1,0,512,3,0.050268779,0.000098181,0.000005711,0.000175560,1
actual,15,65,binomial,1,0,512,3,0.066224924,0.000129346,0.000005711,0.000208211,1
actual,16,66,binomial,1,0,512,3,0.048287071,0.000094311,0.000003467,0.000175309,1
actual,17,67,binomial,1,0,512,3,0.073073134,0.000142721,0.000005661,0.000218811,1
actual,18,68,binomial,1,0,512,3,0.046273298,0.000090378,0.000008676,0.000155722,1
actual,19,69,binomial,1,0,512,3,0.064605303,0.000126182,0.000005581,0.000198202,1
actual,20,70,binomial,1,0,512,3,0.048457622,0.000094644,0.000005761,0.000150092,1
actual,21,71,binomial,1,0,512,3,0.064271471,0.000125530,0.000005760,0.000197210,1
actual,22,72,binomial,1,0,512,3,0.049997132,0.000097651,0.000001563,0.000162876,1
actual,23,73,binomial,1,0,512,3,0.063231965,0.000123500,0.000005350,0.000193915,1
actual,24,74,binomial,1,0,512,3,0.049568930,0.000096814,0.000002685,0.000179237,1
actual,25,75,binomial,1,0,512,3,0.063784425,0.000124579,0.000001503,0.000190167,1
actual,26,76,binomial,1,0,512,3,0.046831040,0.000091467,0.000005441,0.000164218,1
actual,27,77,binomial,1,0,512,3,0.063172217,0.000123383,0.000003887,0.000201208,1
actual,28,78,binomial,1,0,512,3,0.044092192,0.000086118,0.000003506,0.000153759,1
actual,29,79,binomial,1,0,512,3,0.064484034,0.000125945,0.000005640,0.000197150,1
actual,30,80,binomial,1,0,512,3,0.044306355,0.000086536,0.000003546,0.000151374,1
actual,31,81,binomial,1,0,512,3,0.064178589,0.000125349,0.000002595,0.000201859,1
actual,32,82,binomial,1,0,512,3,0.049828156,0.000097321,0.000009378,0.000172243,1
actual,33,83,binomial,1,0,512,3,0.058236901,0.000113744,0.000003587,0.000184747,1
actual,34,84,binomial,1,0,512,3,0.045523665,0.000088913,0.000001623,0.000162826,1
actual,35,85,binomial,1,0,512,3,0.062760283,0.000122579,0.000005580,0.000192733,1
actual,36,86,binomial,1,0,512,3,0.048338715,0.000094412,0.000005570,0.000162355,1
actual,37,87,binomial,1,0,512,3,0.060619278,0.000118397,0.000000470,0.000193653,1
actual,38,88,binomial,1,0,512,3,0.047688011,0.000093141,0.000001784,0.000160341,1
actual,39,89,binomial,1,0,512,3,0.066749709,0.000130371,0.000013575,0.000208060,1
actual,40,90,binomial,1,0,512,3,0.048169205,0.000094080,0.000001653,0.000168146,1
actual,41,91,binomial,1,0,512,3,0.066880657,0.000130626,0.000007624,0.000211978,1
actual,42,92,binomial,1,0,512,3,0.051286288,0.000100169,0.000001573,0.000175720,1
actual,43,93,binomial,1,0,512,3,0.068318402,0.000133434,0.000005671,0.000219903,1
actual,44,94,binomial,1,0,512,3,0.045896442,0.000089641,0.000005320,0.000148329,1
actual,45,95,binomial,1,0,512,3,0.059159152,0.000115545,0.000005621,0.000187201,1
actual,46,96,binomial,1,0,512,3,0.051918633,0.000101404,0.000003527,0.000160982,1
