grid_mode,ppn,nodes,nproc,message_size_bytes,algorithm,predicted_time_sec,is_optimal
nproc,2,,8,512,binomial,3.154380585186623e-05,0
nproc,2,,8,512,circ_graph,3.916384522149521e-05,0
nproc,2,,8,512,nb,3.147545835465029e-05,0
nproc,2,,8,512,pipelined_tree,3.149863339936989e-05,0
nproc,2,,8,512,release_gather,5.316321329073677e-06,1
nproc,2,,8,512,scatter_recursive_doubling_allgather,9.606243748625663e-05,0
nproc,2,,8,512,scatter_ring_allgather,3.320378098388491e-05,0
nproc,2,,8,512,tree,3.149863339936989e-05,0
nproc,2,,8,4096,binomial,3.707507782625711e-05,0
nproc,2,,8,4096,circ_graph,4.6187539479703535e-05,0
nproc,2,,8,4096,nb,3.721379151659327e-05,0
nproc,2,,8,4096,pipelined_tree,3.7202521571337776e-05,0
nproc,2,,8,4096,release_gather,9.174585136811043e-06,1
nproc,2,,8,4096,scatter_recursive_doubling_allgather,0.0001147383074509928,0
nproc,2,,8,4096,scatter_ring_allgather,3.8805397895710086e-05,0
nproc,2,,8,4096,tree,3.7202521571337776e-05,0
nproc,2,,8,16384,binomial,6.749648027152426e-05,1
nproc,2,,8,16384,circ_graph,8.770199197426211e-05,0
nproc,2,,8,16384,nb,0.0001073501529989412,0
nproc,2,,8,16384,pipelined_tree,9.655125313961228e-05,0
nproc,2,,8,16384,release_gather,7.011459373198995e-05,0
nproc,2,,8,16384,scatter_recursive_doubling_allgather,0.00010730864114371736,0
nproc,2,,8,16384,scatter_ring_allgather,9.733579828717478e-05,0
nproc,2,,8,16384,tree,9.593485315128927e-05,0
nproc,2,,8,131072,binomial,0.00019161265749121972,0
nproc,2,,8,131072,circ_graph,0.00021424572272394217,0
nproc,2,,8,131072,nb,0.00021737799021190226,0
nproc,2,,8,131072,pipelined_tree,0.00021663620527490675,0
nproc,2,,8,131072,release_gather,0.0001677214719340693,1
nproc,2,,8,131072,scatter_recursive_doubling_allgather,0.0002155812118111278,0
nproc,2,,8,131072,scatter_ring_allgather,0.0002147771122419748,0
nproc,2,,8,131072,tree,0.0002142330479471617,0
nproc,2,,8,1048576,binomial,0.0009481825870264715,1
nproc,2,,8,1048576,circ_graph,0.0010360814725950303,0
nproc,2,,8,1048576,nb,0.0011535778901925818,0
nproc,2,,8,1048576,pipelined_tree,0.0010705435596428696,0
nproc,2,,8,1048576,release_gather,0.0009855322959272923,0
nproc,2,,8,1048576,scatter_recursive_doubling_allgather,0.0010513241138840278,0
nproc,2,,8,1048576,scatter_ring_allgather,0.0010416673944198987,0
nproc,2,,8,1048576,tree,0.0010442119398736175,0
nproc,2,,8,4194304,binomial,0.0033661017012271877,1
nproc,2,,8,4194304,circ_graph,0.0035145218688523313,0
nproc,2,,8,4194304,nb,0.003479104224864523,0
nproc,2,,8,4194304,pipelined_tree,0.0051169895973774285,0
nproc,2,,8,4194304,release_gather,0.0034201004877915365,0
