grid_mode,ppn,nodes,nproc,message_size_bytes,optimal_algorithm,optimal_predicted_time_sec,predicted_time_sec__binomial,predicted_time_sec__circ_graph,predicted_time_sec__nb,predicted_time_sec__pipelined_tree,predicted_time_sec__release_gather,predicted_time_sec__scatter_recursive_doubling_allgather,predicted_time_sec__scatter_ring_allgather,predicted_time_sec__tree
nodes,8,32,256,512,binomial,9.818560637982894e-05,9.818560637982894e-05,0.00010445015676068262,9.957544911291836e-05,0.00014677160603832073,0.00011810187468450461,0.00021847431561035835,0.0025633109565897758,0.00014588424446094337
nodes,8,32,256,4096,nb,0.00011281487433117778,0.00013368062421586837,0.00012480181862860085,0.00011281487433117778,0.00017932749206446896,0.0001417445147225289,0.00034890474936782266,0.0026131694123396397,0.0001861644256523821
nodes,8,32,256,16384,circ_graph,0.00018120373630184158,0.00018946708559509215,0.00018120373630184158,0.0003536011986757902,0.0003287855679758839,0.0002791727813089428,0.00036524950453266413,0.0029302040829461405,0.00024273247116096228
nodes,8,32,256,131072,binomial,0.0004484313182776864,0.0004484313182776864,0.0005387606540898721,0.000556053278298918,0.001347436279270672,0.0005524797702358768,0.0005581510623837031,0.005675217870239205,0.0005790454996503953
nodes,8,32,256,1048576,binomial,0.0017253448139272162,0.0017253448139272162,0.00211985619093155,0.009092560817026779,0.010184439290479692,0.003613798542190198,0.00269755474123083,0.009906826080382302,0.0040210879308836146
nodes,8,32,256,4194304,binomial,0.005979172840881749,0.005979172840881749,0.007792385517945972,0.011940459876153081,0.04270016359418231,0.010373671387334115,0.009716118749123275,0.010893144349417584,0.014168851511299171
nodes,8,32,256,33554432,scatter_ring_allgather,0.04824152214424216,0.054555675214015636,0.05968822578255482,0.05581523713536647,0.33984157842298085,0.056727391609446,0.066540706643947,0.04824152214424216,0.10569102007955498
nodes,16,2,32,2,release_gather,4.298706774996153e-06,2.078101250564168e-05,2.4163427136702563e-05,2.730721482923585e-05,2.5423252845792576e-05,4.298706774996153e-06,4.3417811266168055e-05,2.70288472003735e-05,2.5423252845792576e-05
nodes,16,2,32,16,release_gather,4.308559824364613e-06,2.0829254825728434e-05,2.4213157802409e-05,2.7335368852325797e-05,2.5475089457636342e-05,4.308559824364613e-06,4.558769299124829e-05,2.718636102637879e-05,2.5475089457636342e-05
nodes,16,2,32,64,release_gather,4.358017384804456e-06,2.0972423338947975e-05,2.4572608076047236e-05,2.7465873020890143e-05,2.5716308788472235e-05,4.358017384804456e-06,6.295868037205092e-05,2.7498299280426884e-05,2.5716308788472235e-05
nodes,16,2,32,512,release_gather,5.770695751858402e-06,3.784952305770906e-05,4.4704194033832225e-05,3.45768120317532e-05,3.7235523978628605e-05,5.770695751858402e-06,9.639474082050596e-05,3.880722495696662e-05,3.7235523978628605e-05
nodes,16,2,32,4096,release_gather,9.90038364547466e-06,4.492737783897609e-05,5.166886522589896e-05,3.886654792350245e-05,4.333806787537206e-05,9.90038364547466e-06,0.0001147383074509928,4.479423165746054e-05,4.333806787537206e-05
nodes,16,2,32,16384,binomial,7.375235215155663e-05,7.375235215155663e-05,9.318307493262245e-05,0.00011582937703293586,0.00010410728586791625,7.505147777518626e-05,0.00011542971150710133,0.00010424040337766516,0.00010344264685281714
nodes,16,2,32,131072,release_gather,0.0001687823696940725,0.00019282467546826568,0.00021507198986155226,0.00021936658234803153,0.00021800650606145153,0.0001687823696940725,0.0002169448393900648,0.00021613565360611807,0.00021558814791179323
nodes,16,2,32,1048576,binomial,0.0009481825870264715,0.0009481825870264715,0.0010360814725950303,0.0011535778901925818,0.0010705435596428696,0.0009855322959272923,0.0010513241138840278,0.0010416673944198987,0.0010442119398736175
nodes,16,2,32,4194304,binomial,0.0033661017012271877,0.0033661017012271877,0.0035145218688523313,0.003479104224864523,0.0051169895973774285,0.0034201004877915365,0.00351860886874714,0.003468329888309101,0.0034926324874383153
